,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob,Away_Decimal_Odds,Home_Decimal_Odds
"15,0",2021-10-12,Pittsburgh Penguins,6,Tampa Bay Lightning,2,4,0,0,1549.771026116295,1554.084593758093,1.0,0.0,0.0,0.0
"15,1",2021-10-12,Seattle Kraken,3,Vegas Golden Knights,4,1,0,0,1493.8905458698787,1565.8664243927155,0.0,1.0,0.0,0.0
"16,0",2021-10-13,Montréal Canadiens,1,Toronto Maple Leafs,2,1,0,0,1516.8066157128437,1529.2702041711489,0.0,1.0,0.0,0.0
"16,1",2021-10-13,New York Rangers,1,Washington Capitals,5,4,0,0,1492.1145878448756,1542.73474855019,0.0,1.0,0.0,0.0
"16,2",2021-10-13,Chicago Blackhawks,2,Colorado Avalanche,4,2,0,0,1465.7310577340902,1567.6380651741204,0.0,1.0,0.0,0.0
"16,3",2021-10-13,Vancouver Canucks,2,Edmonton Oilers,3,1,0,0,1461.4880926561023,1530.8168575943403,0.0,1.0,0.0,0.0
"16,4",2021-10-13,Winnipeg Jets,1,Anaheim Ducks,4,3,0,0,1491.263805374998,1451.7510864792455,0.0,1.0,0.0,0.0
"17,0",2021-10-14,Montréal Canadiens,1,Buffalo Sabres,5,4,1,0,1509.2086945239214,1448.2522263664134,0.0,1.0,0.0,0.0
"17,1",2021-10-14,Toronto Maple Leafs,2,Ottawa Senators,3,1,1,0,1522.4235821611828,1493.5782380232297,0.0,1.0,0.0,0.0
"17,2",2021-10-14,Pittsburgh Penguins,4,Florida Panthers,5,1,0,0,1542.2110064144085,1553.5082444750287,0.0,1.0,0.0,0.0
"17,3",2021-10-14,Dallas Stars,3,New York Rangers,2,1,0,1,1480.7528018615853,1484.7559508425359,1.0,0.0,0.0,0.0
"17,4",2021-10-14,New York Islanders,3,Carolina Hurricanes,6,3,0,0,1533.9047445681783,1542.5969543535566,0.0,1.0,0.0,0.0
"17,5",2021-10-14,Arizona Coyotes,2,Columbus Blue Jackets,8,6,0,0,1462.0305326384757,1450.2117726077206,0.0,1.0,0.0,0.0
"17,6",2021-10-14,Tampa Bay Lightning,7,Detroit Red Wings,6,1,0,0,1560.3384582248486,1446.2690386501458,1.0,0.0,0.0,0.0
"17,7",2021-10-14,Seattle Kraken,4,Nashville Predators,3,1,0,0,1503.1454086689323,1516.290230259859,1.0,0.0,0.0,0.0
"17,8",2021-10-14,Vegas Golden Knights,2,Los Angeles Kings,6,4,0,0,1555.8777049018338,1462.7192132651928,0.0,1.0,0.0,0.0
"18,0",2021-10-15,Chicago Blackhawks,3,New Jersey Devils,4,1,0,0,1457.8598372822737,1456.2499407057426,0.0,1.0,0.0,0.0
"18,1",2021-10-15,Vancouver Canucks,5,Philadelphia Flyers,4,1,0,0,1470.2386978081365,1462.4076026853784,1.0,0.0,0.0,0.0
"18,2",2021-10-15,Minnesota Wild,2,Anaheim Ducks,1,1,0,0,1548.4936619093307,1445.2555948255201,1.0,0.0,0.0,0.0
"19,0",2021-10-16,Arizona Coyotes,1,Buffalo Sabres,2,1,0,0,1454.2414416233648,1456.0413173815243,0.0,1.0,0.0,0.0
"19,1",2021-10-16,New York Islanders,1,Florida Panthers,5,4,0,0,1526.8836534316285,1560.5293356115785,0.0,1.0,0.0,0.0
"19,2",2021-10-16,Dallas Stars,1,Boston Bruins,3,2,0,0,1474.542470808651,1542.2178966577303,0.0,1.0,0.0,0.0
