,0
Tampa Bay Lightning,1609.242910551991
Colorado Avalanche,1606.7530595165733
Vegas Golden Knights,1600.2144013096188
Florida Panthers,1567.9240319947821
Minnesota Wild,1559.9279500930018
New York Islanders,1559.0087497152615
Pittsburgh Penguins,1557.4624402201532
Washington Capitals,1548.928860312171
Boston Bruins,1548.727668996742
Carolina Hurricanes,1546.9018874856008
Nashville Predators,1531.5703135084236
Edmonton Oilers,1530.2248757323193
Montreal Canadiens,1529.7703995119734
Toronto Maple Leafs,1526.00808676005
Winnipeg Jets,1500.0380103785164
New York Rangers,1498.715885044762
Ottawa Senators,1485.2146014758716
Calgary Flames,1484.3230438497758
St. Louis Blues,1483.3817068222234
Dallas Stars,1466.818343153002
Philadelphia Flyers,1463.3306535314857
Chicago Blackhawks,1463.322354822
Arizona Coyotes,1461.711900378891
Vancouver Canucks,1457.6162512198628
Los Angeles Kings,1429.2862638608199
Detroit Red Wings,1428.8425676274337
San Jose Sharks,1422.9084570597367
New Jersey Devils,1419.6687935513312
Anaheim Ducks,1406.7583294986039
Columbus Blue Jackets,1404.5430125718567
Buffalo Sabres,1400.854189445165
