,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob
"15,0",2021-10-12,Pittsburgh Penguins,6,Tampa Bay Lightning,2,4,0,0,1549.771026116295,1554.084593758093,1.0,0.0
"15,1",2021-10-12,Seattle Kraken,3,Vegas Golden Knights,4,1,0,0,1493.8905458698787,1565.8664243927155,0.0,1.0
"16,0",2021-10-13,Montréal Canadiens,1,Toronto Maple Leafs,2,1,0,0,1516.8066157128437,1529.2702041711489,0.0,1.0
"16,1",2021-10-13,New York Rangers,1,Washington Capitals,5,4,0,0,1492.1145878448756,1542.73474855019,0.0,1.0
"16,2",2021-10-13,Chicago Blackhawks,2,Colorado Avalanche,4,2,0,0,1465.7310577340902,1567.6380651741204,0.0,1.0
"16,3",2021-10-13,Vancouver Canucks,2,Edmonton Oilers,3,1,0,0,1461.4880926561023,1530.8168575943403,0.0,1.0
"16,4",2021-10-13,Winnipeg Jets,1,Anaheim Ducks,4,3,0,0,1491.263805374998,1451.7510864792455,0.0,1.0
"17,0",2021-10-14,Montréal Canadiens,1,Buffalo Sabres,5,4,1,0,1516.5760037810314,1448.4167866733026,0.0,1.0
"17,1",2021-10-14,Toronto Maple Leafs,2,Ottawa Senators,3,1,1,0,1515.0629918134232,1493.4069588069901,0.0,1.0
"17,2",2021-10-14,Pittsburgh Penguins,4,Florida Panthers,5,1,0,0,1533.3761595664932,1553.3000329575855,0.0,1.0
"17,3",2021-10-14,Dallas Stars,3,New York Rangers,2,1,0,1,1480.9044875397785,1491.2186031031372,1.0,0.0
"17,4",2021-10-14,New York Islanders,3,Carolina Hurricanes,6,3,0,0,1533.9047445681783,1542.5969543535566,0.0,1.0
"17,5",2021-10-14,Arizona Coyotes,2,Columbus Blue Jackets,8,6,0,0,1462.0305326384757,1450.2117726077206,0.0,1.0
"17,6",2021-10-14,Tampa Bay Lightning,7,Detroit Red Wings,6,1,0,0,1569.1915668987158,1446.4589883416372,1.0,0.0
"17,7",2021-10-14,Seattle Kraken,4,Nashville Predators,3,1,0,0,1509.1151398833283,1516.4299531755844,1.0,0.0
"17,8",2021-10-14,Vegas Golden Knights,2,Los Angeles Kings,6,4,0,0,1549.8956958311278,1462.5917682057775,0.0,1.0
"18,0",2021-10-15,Chicago Blackhawks,3,New Jersey Devils,4,1,0,0,1463.1573350171418,1456.374367231284,0.0,1.0
"18,1",2021-10-15,Vancouver Canucks,5,Philadelphia Flyers,4,1,0,0,1476.2681438775373,1462.5496518590721,1.0,0.0
"18,2",2021-10-15,Minnesota Wild,2,Anaheim Ducks,1,1,0,0,1548.3059140725009,1436.6691492368177,1.0,0.0
"19,0",2021-10-16,Arizona Coyotes,1,Buffalo Sabres,2,1,0,0,1461.9975800707805,1448.8037742508427,0.0,1.0
"19,1",2021-10-16,New York Islanders,1,Florida Panthers,5,4,0,0,1534.157410409782,1553.3184422608404,0.0,1.0
"19,2",2021-10-16,Dallas Stars,1,Boston Bruins,3,2,0,0,1467.3484838090076,1542.053246655034,0.0,1.0
"19,3",2021-10-16,Ottawa Senators,1,Toronto Maple Leafs,3,2,0,0,1480.06295880699,1528.4069918134232,0.0,1.0
"19,4",2021-10-16,New York Rangers,3,Montréal Canadiens,1,2,0,0,1507.8455420457544,1515.2218690147586,1.0,0.0
"19,5",2021-10-16,Vancouver Canucks,1,Detroit Red Wings,3,2,1,0,1461.439273199534,1458.7432178165643,0.0,1.0
